idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
NA,yes,NA,1919801933,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1908.11.5.6,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Ruins of Giza palace.,NA,NA,NA,NA
NA,yes,NA,1919801987,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1908.11.5.5,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Ruins of Giza palace.,NA,NA,NA,NA
NA,yes,NA,1919801991,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1908.11.5.8,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Ruins of Giza palace.,NA,NA,NA,NA
NA,yes,NA,1919802006,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1908.11.5.9,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Ruins of Giza palace.,NA,NA,NA,NA
NA,yes,NA,1919802067,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1908.11.5.7,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
NA,yes,NA,1919802478,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1909.7.1.10,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
NA,yes,NA,1919802498,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1909.7.1.11,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
NA,yes,NA,1919813059,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1970.407,NA,"Rhinopoma hardwickii Gray, 1831",ethiopia,NA,NA,NA,"Awash National Park, Awash River  Valley, North Bank of River.",1968,NA,NA,NA
NA,yes,NA,1919813098,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1970.406,NA,"Rhinopoma hardwickii Gray, 1831",ethiopia,NA,NA,NA,"Awash National Park, Awash River  Valley, North Bank of River.",1968,NA,NA,NA
NA,yes,NA,1919813100,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1970.409,NA,"Rhinopoma hardwickii Gray, 1831",ethiopia,NA,NA,NA,"Awash National Park, Awash River  Valley, North Bank of River.",1968,NA,NA,NA
NA,yes,NA,1919813065,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1970.410,NA,"Rhinopoma hardwickii Gray, 1831",ethiopia,NA,NA,NA,"Awash National Park, Awash River  Valley, North Bank of River.",1968,NA,NA,NA
NA,yes,NA,1919813085,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1970.412,NA,"Rhinopoma hardwickii Gray, 1831",ethiopia,NA,NA,NA,"Awash National Park, Awash River  Valley, North Bank of River.",1968,NA,NA,NA
NA,yes,NA,1919813086,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1970.413,NA,"Rhinopoma hardwickii Gray, 1831",ethiopia,NA,NA,NA,"Awash National Park, Awash River  Valley, North Bank of River.",1968,NA,NA,NA
NA,yes,NA,1919813088,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1970.411,NA,"Rhinopoma hardwickii Gray, 1831",ethiopia,NA,NA,NA,"Awash National Park, Awash River  Valley, North Bank of River.",1968,NA,NA,NA
NA,yes,NA,1919813092,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1970.403,NA,"Rhinopoma hardwickii Gray, 1831",ethiopia,NA,NA,NA,"Awash National Park, Shoa, Cave  floor.",1968,NA,NA,NA
yes,yes,1792a9f8-1b62-4f94-af0a-48a08c124471,1268741367,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1902-502j,"rhinopoma hardwickei gray, 1831","Rhinopoma hardwickii Gray, 1831",inde,NA,NA,NA,Genji Coromandel,NA,NA,NA,NA
yes,yes,193a70f3-ef5b-42d5-b542-4ec31c393dec,1044025223,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-1392,"rhinopoma microphyllum microphyllum brünnich, 1782",Rhinopoma microphyllum microphyllum,inde,NA,NA,NA,Fathepur Sikri,NA,NA,NA,NA
yes,yes,2cbba3d4-9c10-4526-b631-5b3199b1b136,1268741363,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1902-502f,"rhinopoma hardwickei gray, 1831","Rhinopoma hardwickii Gray, 1831",inde,NA,NA,NA,Genji Coromandel,NA,NA,NA,NA
yes,yes,3342bd4a-b77c-4725-9107-490a5d96f942,1044025668,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-1963,"rhinopoma microphyllum brünnich, 1782","Rhinopoma microphyllum (Brünnich, 1782)",inde,NA,NA,NA,Orcha,NA,NA,NA,NA
yes,yes,4607d6ef-0b66-4a10-a162-b455f51d5abb,1044025220,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1985-1389,"rhinopoma hardwickei gray, 1831","Rhinopoma hardwickii Gray, 1831",inde,NA,NA,NA,"Ahmedabad, Gujerat",NA,NA,NA,NA
yes,yes,481e1701-984f-4d77-8875-5de100c6d906,1043997882,cd46dc32-5e36-414b-a8d7-dea9df1f9106,3959ee49-7678-4a88-9049-5dfc55ccebf3,mnhn,zm,mo-1882-3110,"rhinopoma microphyllum brünnich, 1782","Rhinopoma microphyllum (Brünnich, 1782)",inde,NA,NA,NA,Madras,NA,NA,NA,NA
